size,problem_id,heuristic,nodes_expanded,wall_time_total,wall_time_heuristic,path_length,optimal_len,suboptimality,violation_rate,mean_overestimation,h_calls
10,0,manhattan,14,0.00016600004164502025,1.939997309818864e-05,13,13,1.0,0.0,0.0,30
10,0,euclidean,35,0.0006134999566711485,6.999995093792677e-05,13,13,1.0,0.0,0.0,49
10,0,nn,13,0.03607999999076128,0.035781199869234115,13,13,1.0,1.0,34.06220942813081,29
10,1,manhattan,7,9.960000170394778e-05,1.1899915989488363e-05,7,7,1.0,0.0,0.0,14
10,1,euclidean,7,7.329997606575489e-05,1.3499986380338669e-05,7,7,1.0,0.0,0.0,14
10,1,nn,7,0.0023313999990932643,0.0022093000006861985,7,7,1.0,0.9871794871794872,23.68032117942711,14
10,2,manhattan,5,7.160002132877707e-05,8.90000956133008e-06,5,5,1.0,0.0,0.0,12
10,2,euclidean,7,8.560001151636243e-05,1.9799917936325073e-05,5,5,1.0,0.0,0.0,16
10,2,nn,5,0.0019643999985419214,0.0018644999363459647,5,5,1.0,1.0,38.52805637717247,12
10,3,manhattan,7,9.589997353032231e-05,1.2200034689158201e-05,6,6,1.0,0.0,0.0,18
10,3,euclidean,9,9.019998833537102e-05,1.4999823179095984e-05,6,6,1.0,0.0,0.0,18
10,3,nn,6,0.002347000001464039,0.00222659989958629,6,6,1.0,0.9875,23.227483441558064,15
10,4,manhattan,9,0.00010260002454742789,1.2100092135369778e-05,7,7,1.0,0.0,0.0,16
10,4,euclidean,7,6.829999620094895e-05,1.179997343569994e-05,7,7,1.0,0.0,0.0,14
10,4,nn,7,0.002200299990363419,0.0020809999550692737,7,7,1.0,1.0,31.19087514206767,14
10,5,manhattan,7,0.00010529998689889908,1.369992969557643e-05,7,7,1.0,0.0,0.0,20
10,5,euclidean,13,0.0001221999991685152,1.869996776804328e-05,7,7,1.0,0.0,0.0,23
10,5,nn,7,0.0025516999885439873,0.002418500022031367,7,7,1.0,1.0,23.083091012015938,16
10,6,manhattan,1,3.390002530068159e-05,4.899862688034773e-06,1,1,1.0,0.0,0.0,4
10,6,euclidean,1,2.2599997464567423e-05,5.400041118264198e-06,1,1,1.0,0.0,0.0,4
10,6,nn,1,0.0011081999982707202,0.0010729999630711973,1,1,1.0,0.9875,37.78902358646634,4
